Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:29:21
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:29:22
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:29:22
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:29:22
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:29:22
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:29:23
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:29:23
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:29:39
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:01
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:01
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:01
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:01
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:09
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:09
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:11
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:11
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:19
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:19
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:20
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:21
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:21
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:30:41
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:31:02
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:31:02
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:31:02
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:31:03
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:31:11
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:31:11
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:31:12
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:31:12
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:08
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:29
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:29
Service ID: 1, Application Status: DOWN, Server Status: DOWN, Timestamp: 2024-01-19 17:32:30
